,Normalized PX_LAST,Normalized ipca 1 year ahead,average,median,up-down
2003-01-02,0.8878200608229078,2.0522578732366585,1.470038967029783,1.470038967029783,0
2003-01-03,0.8960385004204634,2.0169369679749685,1.456487734197716,1.4632633506137496,0
2003-01-06,0.9465442866581472,2.014014630343914,1.4802794585010306,1.470038967029783,1
2003-01-07,0.9333222404764554,2.022031286900798,1.4776767636886268,1.473857865359205,1
2003-01-08,0.9248473759879161,2.0088288811650794,1.4668381285764978,1.470038967029783,0
2003-01-10,0.5849757760690668,1.96801833318933,1.2764970546291985,1.4684385478031405,0
2003-01-14,0.5849757760690668,1.9256841324798963,1.2553299542744816,1.4668381285764978,0
2003-01-15,0.5849757760690668,1.876305135688416,1.2306404558787414,1.461662931387107,0
2003-01-16,0.5919262593059723,1.8757952374196536,1.233860748362813,1.456487734197716,0
2003-01-17,0.6305296322329043,1.8248988293103185,1.2277142307716113,1.3664923944134573,0
2003-01-20,0.6769726477255362,1.837667074508466,1.2573198611170011,1.2764970546291985,0
2003-01-21,0.5938288662164645,1.826493934900698,1.2101614005585812,1.2669084578730998,0
2003-01-23,0.6115079622506332,1.7970354153519452,1.2042716888012892,1.2573198611170011,0
2003-01-24,0.6121727297970335,1.768555593099877,1.1903641614484552,1.2563249076957415,0
2003-01-27,0.6512292938341447,1.7776086670171007,1.2144189804256227,1.2553299542744816,0
2003-01-30,0.6562648965708009,1.7317960577163571,1.194030477143579,1.2445953513186474,0
2003-01-31,0.6226187873105954,1.7198719385852008,1.171245362947898,1.233860748362813,0
2003-02-03,-0.72503586744315,1.6833363056839146,0.4791502191203823,1.2322506021207773,0
2003-02-06,0.35836489347050005,1.7588904138369617,1.058627653653731,1.2306404558787414,0
2003-02-07,0.28767550164734307,1.776725009646404,1.0322002556468735,1.2291773433251763,0
2003-02-10,0.2644678763766605,1.7651887750361461,1.0148283257064032,1.2277142307716113,0
2003-02-14,0.23451156770402423,1.7595029106106133,0.9970072391573187,1.221066605598617,0
2003-02-17,0.15477070506851237,1.7411249126348838,0.947947808851698,1.2144189804256227,0
2003-02-18,0.0796873632740711,1.7411603575745362,0.9104238604243037,1.212290190492102,0
2003-02-20,0.007977066496820617,1.6983409388613004,0.8531590026790605,1.2101614005585812,0
2003-02-21,0.0374332299936147,1.6801745626546232,0.8588038963241189,1.2072165446799352,0
2003-02-25,-0.17474761534559796,1.6908200471937895,0.7580362159240958,1.2042716888012892,0
2003-02-26,-0.2760657570036496,1.7007291533029307,0.7123316981496406,1.1991510829724341,0
2003-02-28,-0.42823072212496227,1.6842860070873416,0.6280276424811897,1.194030477143579,0
2003-03-05,-0.47458086121281584,1.661165655260362,0.5932923970237731,1.1921973192960171,0
2003-03-06,0.33977303988068536,1.655812988680001,0.9977930142803432,1.1903641614484552,0
2003-03-07,-0.5954958227953306,1.6623482715000744,0.5334262243523719,1.1808047621981768,0
2003-03-11,-0.6418946349294907,1.6171437734635539,0.48762456926703157,1.171245362947898,0
2003-03-12,-0.715461848558146,1.6211633291138134,0.45285074027783373,1.1149365083008145,0
2003-03-18,-0.3800187684903218,1.4922823272829668,0.5561317793963225,1.058627653653731,0
2003-03-19,-0.3742678482880179,1.4705381422399186,0.5481351469759503,1.0454139546503023,0
2003-03-21,-0.32652503227719915,1.439653382431919,0.55656417507736,1.0322002556468735,0
2003-03-24,-0.29180821858566275,1.3890539919527098,0.5486228866835235,1.0235142906766383,0
2003-03-25,-0.304247614642008,1.4160622445314683,0.5559073149447302,1.0148283257064032,0
2003-03-28,-0.29449425374495725,1.3987380380363987,0.5521218921457207,1.0063106699933733,0
2003-04-02,-0.299636458383517,1.3733697659921527,0.5368666538043179,0.9977930142803432,0
2003-04-04,-0.2702469125744032,1.3398113469026993,0.5347822171641481,0.9974001267188309,0
2003-04-07,-0.15472094791916896,1.3030700957285704,0.5741745739047007,0.9970072391573187,0
2003-04-08,-0.28025001505361763,1.282920270542434,0.5013351277444082,0.9724775240045084,0
2003-04-14,-0.238216517713858,1.3213016781537392,0.5415425802199406,0.947947808851698,0
2003-04-15,-0.2866129943830863,1.305964015285074,0.5096755104509938,0.9291858346380009,0
2003-04-16,-0.1980746454919474,1.3033364246697314,0.5526308895888921,0.9104238604243037,0
2003-04-22,-0.23017737283149178,1.2768289462514666,0.5233257867099874,0.8846138783742112,0
2003-04-23,-0.2557250603807003,1.2665236964683093,0.5053993180438046,0.8588038963241189,0
2003-04-24,-0.5792901161369879,1.2401065013081614,0.33040819258558674,0.8559814495015897,0
2003-04-25,-0.1954619452832642,1.2356841282218582,0.520111091469297,0.8531590026790605,0
2003-04-30,-0.183365549544225,1.1825006722002194,0.4995675613279972,0.8055976093015782,0
2003-05-02,-0.214038924070673,1.166258291548021,0.476109683738674,0.7580362159240958,0
2003-05-05,-0.15605877384305397,1.145999578502841,0.4949704023298935,0.7351839570368681,0
2003-05-06,-0.08539428308685432,1.1299405486393186,0.5222731327762321,0.7123316981496406,0
2003-05-07,-0.12116114869956009,1.1107846532242578,0.49481175226234886,0.6701796703154151,0
2003-05-08,-0.12116114869956009,1.094510928022397,0.4866748896614185,0.6280276424811897,0
2003-05-09,0.07305566865926917,1.071302053160407,0.572178860909838,0.6106600197524814,0
2003-05-12,0.0409583921221242,1.0644516667136177,0.5527050294178709,0.5932923970237731,0
2003-05-13,0.007977066496820617,1.0392992658861155,0.5236381661914681,0.5837334854642369,0
2003-05-14,0.007977066496820617,1.0152723642184271,0.5116247153576239,0.5741745739047007,0
2003-05-15,0.03593732336506041,1.0019783214856832,0.5189578224253718,0.5731767174072694,0
2003-05-16,0.03593732336506041,0.9719480635404656,0.503942693452763,0.572178860909838,0
2003-05-21,0.0711027670345875,0.9416660636635719,0.5063844153490796,0.5643715179935991,0
2003-05-23,0.12182528394247148,0.9206082770481492,0.5212167804953103,0.55656417507736,0
2003-05-26,0.08324272017006913,0.9137024710685875,0.49847259561932833,0.5563479772368413,0
2003-05-27,0.14097152437986749,0.9035983961694743,0.5222849602746709,0.5561317793963225,0
2003-05-30,0.07362307524943487,0.8848310558528323,0.4792270655511336,0.5560195471705264,0
2003-06-02,-0.014492333825351738,0.8523024048985248,0.41890503553658653,0.5559073149447302,0
2003-06-03,0.013147726787193392,0.8387248441108053,0.4259362854489993,0.5543061721813005,0
2003-06-04,-0.015942449898670857,0.8298492955682366,0.40695342283478286,0.5527050294178709,0
2003-06-06,0.03256671995752365,0.8076500148178397,0.4201083673876817,0.5526679595033814,0
2003-06-10,-0.6977165875755525,0.7834259974235364,0.042854704923991904,0.5526308895888921,0
2003-06-11,-0.692103032035442,0.7374542567146194,0.022675612339588702,0.5523763908673064,0
2003-06-12,-0.6905035897423243,0.7198904096947463,0.014693409976210992,0.5521218921457207,0
2003-06-16,-0.45294655346689716,0.6767366960882352,0.111895071310669,0.5503723894146222,0
2003-06-18,-0.6653031051156775,0.6530904591885546,-0.00610632296356145,0.5486228866835235,0
2003-06-20,-0.6578829138864211,0.6262807096273657,-0.015801102129527678,0.5483790168297369,0
2003-06-23,-0.7051628726615421,0.5860695932443857,-0.05954663970857821,0.5481351469759503,0
2003-06-24,-0.7382495607236517,0.5922287150270926,-0.07301042284827952,0.5448388635979455,0
2003-06-25,-0.43339866357406176,0.5349569851837848,0.0507791608048615,0.5415425802199406,0
2003-06-26,-0.7210326459229123,0.5010105711905034,-0.11001103736620443,0.5392046170121292,0
