datetime,SMB,IML,WML,HML
2001-01-31,-0.026115044951438904,-0.011499879881739616,-0.001554685877636075,0.0055680545046925545
2001-02-28,-0.01875937171280384,-0.02635633945465088,0.016835782676935196,-0.03911428898572922
2001-03-30,0.006626268848776817,0.0048881229013204575,-0.010437848046422005,0.00021261535584926605
2001-04-30,-0.009724986739456654,-0.029398050159215927,0.0008065102156251669,-0.011844131164252758
2001-05-31,-0.010091150179505348,-0.011023690924048424,-0.004109028726816177,0.0030201836489140987
2001-06-29,-0.005376143380999565,-0.017815086990594864,-0.005542590282857418,-0.011826852336525917
2001-07-31,-0.0021429508924484253,-0.002467905404046178,0.007564901374280453,-0.003022925928235054
2001-08-31,0.0030522309243679047,-0.0036311247386038303,-0.01183808408677578,-0.009402135387063026
2001-09-28,-0.02183484099805355,-0.031841378659009933,0.0018076216802001,-0.035597242414951324
2001-10-31,0.011015783995389938,-0.0011448077857494354,-0.018834313377738,-0.009497260674834251
2001-11-30,0.00463256798684597,0.016174091026186943,-0.017909996211528778,-0.00431104376912117
2001-12-31,-0.031786903738975525,-0.02438308484852314,0.019742261618375778,-0.0180718544870615
2002-01-31,-0.009205140173435211,-0.011239355430006981,-0.0065779476426541805,0.01591959036886692
2002-02-28,-0.010122648440301418,-0.0053895097225904465,0.010618906468153,-0.007734581828117371
2002-03-29,-0.004477373324334621,0.0035707559436559677,0.005334060173481703,-0.006729459390044212
2002-04-30,0.0001218719407916069,0.00575775234028697,-0.013137176632881165,-0.0007191920885816216
2002-05-31,-0.006608039606362581,0.0010965978726744652,-0.012342970818281174,0.005430829711258411
2002-06-28,0.015402227640151978,0.03569519519805908,0.014586513862013817,-0.0041047353297472
2002-07-31,-0.028514767065644264,-0.019797764718532562,0.02574509009718895,-0.015242032706737518
2002-08-30,-0.008265556767582893,-0.020496640354394913,0.00952569767832756,0.0324510857462883
2002-09-30,-0.001961454749107361,-0.009011275134980679,-0.013607902452349663,-0.010299268178641796
2002-10-31,-0.007276741322129965,-0.010600417852401733,0.005079143214970827,-0.002530754078179598
2002-11-29,-0.004238251596689224,-0.0034751202911138535,0.014927872456610203,-0.00787823460996151
2002-12-31,-0.02000974677503109,-0.013914339244365692,0.022281913086771965,0.008296412415802479
2003-01-31,0.007325693033635616,0.002104945480823517,-0.011246143840253353,0.016873007640242577
2003-02-28,-0.017095590010285378,-0.012535424903035164,0.002000954933464527,-0.01513624470680952
2003-03-31,-0.012017209082841873,-0.014106866903603077,0.004733353853225708,-0.0023312708362936974
2003-04-30,0.009457207284867764,0.020419113337993622,0.00598867516964674,0.004572665318846703
2003-05-30,0.008189944550395012,0.004287203773856163,0.011071469634771347,-0.0029836311005055904
2003-06-30,0.01776142418384552,0.015232888981699944,0.004483358934521675,0.010416023433208466
2003-07-31,-0.00902566872537136,-0.0021526417694985867,-0.010947847738862038,-0.012866877019405365
2003-08-29,-0.010900873690843582,-0.012258883565664291,-0.003540643258020282,-0.009687719866633415
2003-09-30,0.011216375976800919,0.004615044221282005,0.0034675155766308308,0.015125110745429993
2003-10-31,-0.01210414245724678,-0.002698909491300583,-0.005145989824086428,-0.002659149933606386
2003-11-28,0.005184302106499672,-0.0012286007404327393,-2.9785558581352234e-05,0.001564078964293003
2003-12-31,0.0026904502883553505,-0.0029657252598553896,0.007645464036613703,0.0016248784959316254
2004-01-30,-0.009659569710493088,-0.011523526161909103,-0.021393489092588425,-0.015765458345413208
2004-02-27,-0.010927097871899605,0.004608280956745148,0.005237843841314316,0.005336480215191841
2004-03-31,0.0148368114605546,0.01209623459726572,0.0011615660041570663,0.0024097166024148464
2004-04-30,0.005247512832283974,0.0006172433495521545,-0.0009581968188285828,0.01119136344641447
2004-05-31,-0.006969873793423176,-0.007525833789259195,0.00020960252732038498,-0.00021748896688222885
2004-06-30,0.00018866732716560364,0.003204415552318096,-0.009654266759753227,0.006441938690841198
2004-07-30,-0.0054040635004639626,-0.010913657955825329,0.01206278707832098,0.006331838201731443
2004-08-31,0.011216345243155956,-0.00015931576490402222,0.010483859106898308,-0.013068463653326035
2004-09-30,0.009593597613275051,0.010495675727725029,-0.004619697108864784,-0.008484331890940666
2004-10-29,0.008516941219568253,0.005368488375097513,0.011434866115450859,-0.0011467402800917625
2004-11-30,0.012120174244046211,-0.007208202034235001,0.012777252122759819,0.013727831654250622
2004-12-31,0.003306102007627487,-0.0030108513310551643,-0.0013176226057112217,0.001301480457186699
2005-01-31,-0.0016540223732590675,-0.00897188764065504,-0.011577878147363663,0.003514310345053673
2005-02-28,0.004099315498024225,-0.0005638636648654938,0.012915528379380703,0.007790278643369675
2005-03-31,-0.008723845705389977,-0.001884107943624258,0.010340394452214241,-0.003738590981811285
2005-04-29,0.020854730159044266,0.015246500261127949,0.014029895886778831,0.005206665024161339
2005-05-31,0.009125213138759136,0.013244688510894775,0.004998508840799332,-0.006611445918679237
2005-06-30,0.00775197334587574,0.013646703213453293,0.005277916789054871,0.003571739885956049
2005-07-29,0.010255643166601658,0.00843968614935875,0.0023933870252221823,0.010959478095173836
2005-08-31,-0.004390908405184746,-0.009531917050480843,0.007106976117938757,-0.0006881887093186378
2005-09-30,0.009195988066494465,4.106201231479645e-06,-0.007685101591050625,-0.003523842431604862
2005-10-31,-0.016893863677978516,-0.007666030898690224,0.006889447569847107,0.006594659760594368
2005-11-30,0.003923843149095774,-0.006940904539078474,0.00865181628614664,0.007775360718369484
2005-12-30,0.00627762358635664,0.00010713376104831696,0.003962574992328882,0.007694486062973738
